date,exchange_rate
9/29/2023,0.9669
9/28/2023,0.9678
9/27/2023,0.968
9/26/2023,0.9675
9/25/2023,0.9676
9/22/2023,0.965
9/21/2023,0.9628
9/20/2023,0.9601
9/19/2023,0.9595
9/18/2023,0.9564
9/15/2023,0.9554
9/14/2023,0.9588
9/13/2023,0.9589
9/12/2023,0.9561
9/11/2023,0.956
9/8/2023,0.9543
9/7/2023,0.9557
9/6/2023,0.9561
9/5/2023,0.9548
9/4/2023,0.9548
9/1/2023,0.9574
8/31/2023,0.9584
8/30/2023,0.9568
8/29/2023,0.9558
8/28/2023,0.9559
8/25/2023,0.9564
8/24/2023,0.9562
8/23/2023,0.9524
8/22/2023,0.9565
8/21/2023,0.9588
8/18/2023,0.9571
8/17/2023,0.9555
8/16/2023,0.9605
8/15/2023,0.9586
8/14/2023,0.9608
8/11/2023,0.9617
8/10/2023,0.9618
8/9/2023,0.9627
8/8/2023,0.96
8/7/2023,0.9625
8/4/2023,0.9598
8/3/2023,0.9579
8/2/2023,0.9642
8/1/2023,0.961
7/31/2023,0.9619
7/28/2023,0.9554
7/27/2023,0.9542
7/26/2023,0.9549
7/25/2023,0.9598
7/24/2023,0.9595
7/21/2023,0.963
7/20/2023,0.9635
7/19/2023,0.9628
7/18/2023,0.9647
7/17/2023,0.9652
7/14/2023,0.9649
7/13/2023,0.9644
7/12/2023,0.9683
7/11/2023,0.9693
7/10/2023,0.9753
7/7/2023,0.9754
7/6/2023,0.9757
7/5/2023,0.9782
7/4/2023,0.9762
7/3/2023,0.98
6/30/2023,0.9788
6/29/2023,0.9783
6/28/2023,0.9822
6/27/2023,0.9789
6/26/2023,0.9737
6/23/2023,0.9773
6/22/2023,0.9825
6/21/2023,0.9803
6/20/2023,0.9808
6/19/2023,0.9772
6/16/2023,0.977
6/15/2023,0.9761
6/14/2023,0.9751
6/13/2023,0.9784
6/12/2023,0.9751
6/9/2023,0.9716
6/8/2023,0.9751
6/7/2023,0.9704
6/6/2023,0.9698
6/5/2023,0.9732
6/2/2023,0.9758
6/1/2023,0.9732
5/31/2023,0.9724
5/30/2023,0.969
5/29/2023,0.9683
5/26/2023,0.9707
5/25/2023,0.9708
5/24/2023,0.9732
5/23/2023,0.9718
5/22/2023,0.97
5/19/2023,0.9738
5/18/2023,0.9735
5/17/2023,0.9746
5/16/2023,0.9732
5/15/2023,0.9747
5/12/2023,0.9744
5/11/2023,0.9758
5/10/2023,0.9771
5/9/2023,0.9788
5/8/2023,0.9813
5/5/2023,0.9828
5/4/2023,0.9802
5/3/2023,0.9809
5/2/2023,0.9841
4/28/2023,0.9839
4/27/2023,0.9862
4/26/2023,0.9824
4/25/2023,0.9786
4/24/2023,0.98
4/21/2023,0.9795
4/20/2023,0.981
4/19/2023,0.9828
4/18/2023,0.9831
4/17/2023,0.9812
4/14/2023,0.9827
4/13/2023,0.9804
4/12/2023,0.9853
4/11/2023,0.9868
4/6/2023,0.9878
4/5/2023,0.9901
4/4/2023,0.9954
4/3/2023,0.9949
3/31/2023,0.9968
3/30/2023,0.9963
3/29/2023,0.9973
3/28/2023,0.9947
3/27/2023,0.9875
3/24/2023,0.9874
3/23/2023,0.9969
3/22/2023,0.996
3/21/2023,0.997
3/20/2023,0.9928
3/17/2023,0.9858
3/16/2023,0.982
3/15/2023,0.9727
3/14/2023,0.9784
3/13/2023,0.975
3/10/2023,0.9824
3/9/2023,0.9911
3/8/2023,0.9931
3/7/2023,0.9959
3/6/2023,0.9947
3/3/2023,0.9958
3/2/2023,0.9988
3/1/2023,0.9997
2/28/2023,0.9947
2/27/2023,0.9929
2/24/2023,0.9898
2/23/2023,0.9892
2/22/2023,0.987
2/21/2023,0.9853
2/20/2023,0.9861
2/17/2023,0.9896
2/16/2023,0.9873
2/15/2023,0.9885
2/14/2023,0.987
2/13/2023,0.9849
2/10/2023,0.9872
2/9/2023,0.989
2/8/2023,0.9881
2/7/2023,0.9906
2/6/2023,0.9964
2/3/2023,0.9989
2/2/2023,0.9992
2/1/2023,0.998
1/31/2023,1.0032
1/30/2023,1.0045
1/27/2023,1.0017
1/26/2023,1.0002
1/25/2023,1.002
1/24/2023,1.0053
1/23/2023,1.0013
1/20/2023,0.9962
1/19/2023,0.9921
1/18/2023,0.9906
1/17/2023,0.9998
1/16/2023,1.0026
1/13/2023,1.0051
1/12/2023,1.0056
1/11/2023,0.9967
1/10/2023,0.9908
1/9/2023,0.9865
1/6/2023,0.9864
1/5/2023,0.9839
1/4/2023,0.9843
1/3/2023,0.9879
1/2/2023,0.9873
