date,exchange_rate
9/29/2023,0.86458
9/28/2023,0.86333
9/27/2023,0.8681
9/26/2023,0.8702
9/25/2023,0.86965
9/22/2023,0.86795
9/21/2023,0.86713
9/20/2023,0.8653
9/19/2023,0.86263
9/18/2023,0.86141
9/15/2023,0.85878
9/14/2023,0.85995
9/13/2023,0.8609
9/12/2023,0.85925
9/11/2023,0.8565
9/8/2023,0.85735
9/7/2023,0.859
9/6/2023,0.85503
9/5/2023,0.85535
9/4/2023,0.8555
9/1/2023,0.85538
8/31/2023,0.85718
8/30/2023,0.8592
8/29/2023,0.8586
8/28/2023,0.85815
8/25/2023,0.85643
8/24/2023,0.8565
8/23/2023,0.85653
8/22/2023,0.85288
8/21/2023,0.85475
8/18/2023,0.85493
8/17/2023,0.85395
8/16/2023,0.85645
8/15/2023,0.85955
8/14/2023,0.86215
8/11/2023,0.86415
8/10/2023,0.86313
8/9/2023,0.8618
8/8/2023,0.86158
8/7/2023,0.86163
8/4/2023,0.86193
8/3/2023,0.86468
8/2/2023,0.86038
8/1/2023,0.85865
7/31/2023,0.85765
7/28/2023,0.8556
7/27/2023,0.85885
7/26/2023,0.85695
7/25/2023,0.86148
7/24/2023,0.8635
7/21/2023,0.86706
7/20/2023,0.8692
7/19/2023,0.86918
7/18/2023,0.85838
7/17/2023,0.85873
7/14/2023,0.8559
7/13/2023,0.85553
7/12/2023,0.85378
7/11/2023,0.8511
7/10/2023,0.85733
7/7/2023,0.85298
7/6/2023,0.8531
7/5/2023,0.85685
7/4/2023,0.85673
7/3/2023,0.8598
6/30/2023,0.85828
6/29/2023,0.864
6/28/2023,0.8642
6/27/2023,0.8599
6/26/2023,0.85878
6/23/2023,0.85479
6/22/2023,0.86115
6/21/2023,0.85828
6/20/2023,0.85705
6/19/2023,0.85268
6/16/2023,0.85428
6/15/2023,0.85555
6/14/2023,0.85455
6/13/2023,0.8585
6/12/2023,0.85678
6/9/2023,0.85795
6/8/2023,0.86113
6/7/2023,0.8597
6/6/2023,0.86103
6/5/2023,0.86323
6/2/2023,0.8593
6/1/2023,0.85823
5/31/2023,0.86405
5/30/2023,0.86365
5/29/2023,0.86805
5/26/2023,0.86813
5/25/2023,0.86793
5/24/2023,0.86993
5/23/2023,0.86993
5/22/2023,0.86846
5/19/2023,0.8684
5/18/2023,0.8689
5/17/2023,0.86895
5/16/2023,0.86938
5/15/2023,0.86943
5/12/2023,0.8702
5/11/2023,0.86795
5/10/2023,0.86813
5/9/2023,0.8699
5/8/2023,0.87228
5/5/2023,0.87378
5/4/2023,0.88015
5/3/2023,0.88265
5/2/2023,0.87868
4/28/2023,0.8805
4/27/2023,0.88428
4/26/2023,0.8856
4/25/2023,0.88645
4/24/2023,0.88463
4/21/2023,0.8857
4/20/2023,0.88153
4/19/2023,0.88108
4/18/2023,0.88143
4/17/2023,0.88373
4/14/2023,0.8844
4/13/2023,0.88058
4/12/2023,0.88038
4/11/2023,0.87738
4/6/2023,0.87495
4/5/2023,0.87685
4/4/2023,0.87333
4/3/2023,0.8779
3/31/2023,0.8792
3/30/2023,0.88164
3/29/2023,0.87988
3/28/2023,0.87938
3/27/2023,0.87818
3/24/2023,0.8794
3/23/2023,0.88523
3/22/2023,0.87925
3/21/2023,0.88033
3/20/2023,0.8756
3/17/2023,0.87488
3/16/2023,0.8782
3/15/2023,0.87243
3/14/2023,0.88054
3/13/2023,0.8837
3/10/2023,0.88258
3/9/2023,0.88814
3/8/2023,0.89074
3/7/2023,0.88968
3/6/2023,0.8863
3/3/2023,0.8853
3/2/2023,0.88785
3/1/2023,0.88574
2/28/2023,0.87701
2/27/2023,0.88073
2/24/2023,0.88245
2/23/2023,0.8814
2/22/2023,0.87945
2/21/2023,0.87925
2/20/2023,0.88738
2/17/2023,0.88888
2/16/2023,0.88883
2/15/2023,0.88825
2/14/2023,0.88125
2/13/2023,0.88281
2/10/2023,0.88348
2/9/2023,0.88515
2/8/2023,0.888
2/7/2023,0.89338
2/6/2023,0.89278
2/3/2023,0.8925
2/2/2023,0.89289
2/1/2023,0.88413
1/31/2023,0.88073
1/30/2023,0.87978
1/27/2023,0.87885
1/26/2023,0.87945
1/25/2023,0.88248
1/24/2023,0.88368
1/23/2023,0.8797
1/20/2023,0.876
1/19/2023,0.87648
1/18/2023,0.8753
1/17/2023,0.88595
1/16/2023,0.88758
1/13/2023,0.888
1/12/2023,0.8869
1/11/2023,0.88673
1/10/2023,0.8833
1/9/2023,0.88048
1/6/2023,0.88475
1/5/2023,0.88303
1/4/2023,0.88076
1/3/2023,0.88048
1/2/2023,0.8863
