date,exchange_rate
9/29/2023,1.0594
9/28/2023,1.0539
9/27/2023,1.0536
9/26/2023,1.0605
9/25/2023,1.0633
9/22/2023,1.0647
9/21/2023,1.0635
9/20/2023,1.0702
9/19/2023,1.0713
9/18/2023,1.0663
9/15/2023,1.0658
9/14/2023,1.073
9/13/2023,1.0733
9/12/2023,1.0713
9/11/2023,1.0724
9/8/2023,1.0704
9/7/2023,1.071
9/6/2023,1.0745
9/5/2023,1.0731
9/4/2023,1.0801
9/1/2023,1.0844
8/31/2023,1.0868
8/30/2023,1.0886
8/29/2023,1.0803
8/28/2023,1.0808
8/25/2023,1.0808
8/24/2023,1.084
8/23/2023,1.0805
8/22/2023,1.0887
8/21/2023,1.0908
8/18/2023,1.0867
8/17/2023,1.09
8/16/2023,1.0916
8/15/2023,1.0926
8/14/2023,1.093
8/11/2023,1.1004
8/10/2023,1.1019
8/9/2023,1.0968
8/8/2023,1.0944
8/7/2023,1.0984
8/4/2023,1.0946
8/3/2023,1.0932
8/2/2023,1.0985
8/1/2023,1.097
7/31/2023,1.1023
7/28/2023,1.101
7/27/2023,1.1125
7/26/2023,1.1059
7/25/2023,1.1051
7/24/2023,1.1096
7/21/2023,1.1123
7/20/2023,1.1197
7/19/2023,1.1222
7/18/2023,1.1255
7/17/2023,1.123
7/14/2023,1.1221
7/13/2023,1.1182
7/12/2023,1.1022
7/11/2023,1.0989
7/10/2023,1.0956
7/7/2023,1.0888
7/6/2023,1.0899
7/5/2023,1.0879
7/4/2023,1.0895
7/3/2023,1.0899
6/30/2023,1.0866
6/29/2023,1.0938
6/28/2023,1.0938
6/27/2023,1.0951
6/26/2023,1.0918
6/23/2023,1.0884
6/22/2023,1.0985
6/21/2023,1.0923
6/20/2023,1.0933
6/19/2023,1.0922
6/16/2023,1.0966
6/15/2023,1.0819
6/14/2023,1.0809
6/13/2023,1.0793
6/12/2023,1.0765
6/9/2023,1.078
6/8/2023,1.0737
6/7/2023,1.0717
6/6/2023,1.0683
6/5/2023,1.069
6/2/2023,1.0763
6/1/2023,1.0697
5/31/2023,1.0683
5/30/2023,1.0744
5/29/2023,1.0715
5/26/2023,1.0751
5/25/2023,1.0735
5/24/2023,1.0785
5/23/2023,1.0779
5/22/2023,1.0822
5/19/2023,1.0808
5/18/2023,1.0813
5/17/2023,1.0829
5/16/2023,1.0881
5/15/2023,1.0876
5/12/2023,1.0892
5/11/2023,1.093
5/10/2023,1.095
5/9/2023,1.0959
5/8/2023,1.1037
5/5/2023,1.1014
5/4/2023,1.1074
5/3/2023,1.1043
5/2/2023,1.0965
4/28/2023,1.0981
4/27/2023,1.1042
4/26/2023,1.1039
4/25/2023,1.1022
4/24/2023,1.1002
4/21/2023,1.0978
4/20/2023,1.0944
4/19/2023,1.0933
4/18/2023,1.0972
4/17/2023,1.0981
4/14/2023,1.1057
4/13/2023,1.1015
4/12/2023,1.0922
4/11/2023,1.0905
4/6/2023,1.0915
4/5/2023,1.094
4/4/2023,1.0901
4/3/2023,1.087
3/31/2023,1.0875
3/30/2023,1.0886
3/29/2023,1.0847
3/28/2023,1.0841
3/27/2023,1.0773
3/24/2023,1.0745
3/23/2023,1.0879
3/22/2023,1.0785
3/21/2023,1.0776
3/20/2023,1.0717
3/17/2023,1.0623
3/16/2023,1.0595
3/15/2023,1.0549
3/14/2023,1.0737
3/13/2023,1.0706
3/10/2023,1.0586
3/9/2023,1.0554
3/8/2023,1.0545
3/7/2023,1.0665
3/6/2023,1.0646
3/3/2023,1.0615
3/2/2023,1.0605
3/1/2023,1.0684
2/28/2023,1.0619
2/27/2023,1.0554
2/24/2023,1.057
2/23/2023,1.0616
2/22/2023,1.0644
2/21/2023,1.0664
2/20/2023,1.0674
2/17/2023,1.0625
2/16/2023,1.07
2/15/2023,1.07
2/14/2023,1.0759
2/13/2023,1.0686
2/10/2023,1.069
2/9/2023,1.0771
2/8/2023,1.0735
2/7/2023,1.07
2/6/2023,1.0776
2/3/2023,1.0937
2/2/2023,1.0988
2/1/2023,1.0894
1/31/2023,1.0833
1/30/2023,1.0903
1/27/2023,1.0865
1/26/2023,1.0895
1/25/2023,1.0878
1/24/2023,1.0858
1/23/2023,1.0871
1/20/2023,1.0826
1/19/2023,1.0815
1/18/2023,1.0839
1/17/2023,1.0843
1/16/2023,1.0812
1/13/2023,1.0814
1/12/2023,1.0772
1/11/2023,1.0747
1/10/2023,1.0723
1/9/2023,1.0696
1/6/2023,1.05
1/5/2023,1.0601
1/4/2023,1.0599
1/3/2023,1.0545
1/2/2023,1.0683
