date,diesel_price,gasoline_price
2020-09-23 00:00:00,4.333,4.44
2020-09-24 00:00:00,4.333,4.44
2020-09-25 00:00:00,4.333,4.44
2020-09-26 00:00:00,4.328,4.438
2020-09-27 00:00:00,4.328,4.438
2020-09-28 00:00:00,4.353,4.463
2020-09-29 00:00:00,4.379,4.471
2020-09-30 00:00:00,4.379,4.471
2020-10-01 00:00:00,4.392,4.497
2020-10-02 00:00:00,4.392,4.497
2020-10-03 00:00:00,4.392,4.497
2020-10-04 00:00:00,4.392,4.512
2020-10-05 00:00:00,4.392,4.512
2020-10-06 00:00:00,4.394,4.512
2020-10-07 00:00:00,4.394,4.525
2020-10-08 00:00:00,4.412,4.54
2020-10-09 00:00:00,4.417,4.54
2020-10-10 00:00:00,4.417,4.54
2020-10-11 00:00:00,4.427,4.54
2020-10-12 00:00:00,4.427,4.54
2020-10-13 00:00:00,4.435,4.568
2020-10-14 00:00:00,4.443,4.568
2020-10-15 00:00:00,4.443,4.568
2020-10-16 00:00:00,4.422,4.522
2020-10-17 00:00:00,4.422,4.522
2020-10-18 00:00:00,4.438,4.525
2020-10-19 00:00:00,4.443,4.545
2020-10-20 00:00:00,4.451,4.545
2020-10-21 00:00:00,4.502,4.584
2020-10-22 00:00:00,4.502,4.584
2020-10-23 00:00:00,4.502,4.584
2020-10-24 00:00:00,4.466,4.561
2020-10-25 00:00:00,4.461,4.571
2020-10-26 00:00:00,4.458,4.566
2020-10-27 00:00:00,4.42,4.53
2020-10-28 00:00:00,4.415,4.522
2020-10-29 00:00:00,4.415,4.522
2020-10-30 00:00:00,4.415,4.522
2020-10-31 00:00:00,4.389,4.469
2020-11-01 00:00:00,4.389,4.469
2020-11-02 00:00:00,4.371,4.458
2020-11-03 00:00:00,4.371,4.458
2020-11-04 00:00:00,4.371,4.458
2020-11-05 00:00:00,4.41,4.458
2020-11-06 00:00:00,4.41,4.458
2020-11-07 00:00:00,4.381,4.428
2020-11-08 00:00:00,4.41,4.438
2020-11-09 00:00:00,4.41,4.438
2020-11-10 00:00:00,4.41,4.458
2020-11-11 00:00:00,4.412,4.458
2020-11-12 00:00:00,4.435,4.481
2020-11-13 00:00:00,4.44,4.476
2020-11-14 00:00:00,4.44,4.476
2020-11-15 00:00:00,4.456,4.476
2020-11-16 00:00:00,4.456,4.476
2020-11-17 00:00:00,4.456,4.497
2020-11-18 00:00:00,4.471,4.499
2020-11-19 00:00:00,4.471,4.512
2020-11-20 00:00:00,4.476,4.507
2020-11-21 00:00:00,4.476,4.507
2020-11-22 00:00:00,4.476,4.507
2020-11-23 00:00:00,4.535,4.574
2020-11-24 00:00:00,4.535,4.566
2020-11-25 00:00:00,4.579,4.617
2020-11-26 00:00:00,4.622,4.653
2020-11-27 00:00:00,4.622,4.622
2020-11-28 00:00:00,4.594,4.592
2020-11-29 00:00:00,4.622,4.643
2020-11-30 00:00:00,4.622,4.612
2020-12-01 00:00:00,4.622,4.612
2020-12-02 00:00:00,4.622,4.612
2020-12-03 00:00:00,4.64,4.643
2020-12-04 00:00:00,4.622,4.581
2020-12-05 00:00:00,4.622,4.581
2020-12-06 00:00:00,4.645,4.643
2020-12-07 00:00:00,4.645,4.643
2020-12-08 00:00:00,4.681,4.668
2020-12-09 00:00:00,4.681,4.668
2020-12-10 00:00:00,4.681,4.638
2020-12-11 00:00:00,4.681,4.632
2020-12-12 00:00:00,4.681,4.632
2020-12-13 00:00:00,4.681,4.632
2020-12-14 00:00:00,4.727,4.679
2020-12-15 00:00:00,4.776,4.697
2020-12-16 00:00:00,4.776,4.697
2020-12-18 00:00:00,4.799,4.72
2020-12-19 00:00:00,4.776,4.704
2020-12-20 00:00:00,4.799,4.75
2020-12-21 00:00:00,4.799,4.72
2020-12-22 00:00:00,4.822,4.766
2020-12-23 00:00:00,4.822,4.766
2020-12-24 00:00:00,4.822,4.766
2020-12-25 00:00:00,4.799,4.72
2020-12-26 00:00:00,4.799,4.72
2020-12-27 00:00:00,4.822,4.766
2020-12-28 00:00:00,4.822,4.766
2020-12-29 00:00:00,4.822,4.766
2020-12-30 00:00:00,4.822,4.766
2020-12-31 00:00:00,4.822,4.766
2021-01-01 00:00:00,4.822,4.766
2021-01-02 00:00:00,4.822,4.766
2021-01-03 00:00:00,4.822,4.766
2021-01-04 00:00:00,4.861,4.807
2021-01-05 00:00:00,4.861,4.807
2021-01-06 00:00:00,4.866,4.814
2021-01-07 00:00:00,4.871,4.814
2021-01-08 00:00:00,4.886,4.807
2021-01-09 00:00:00,4.886,4.807
2021-01-10 00:00:00,4.896,4.843
2021-01-11 00:00:00,4.896,4.843
2021-01-12 00:00:00,4.94,4.894
2021-01-13 00:00:00,4.958,4.894
2021-01-14 00:00:00,4.971,4.917
2021-01-15 00:00:00,4.963,4.909
2021-01-16 00:00:00,4.963,4.909
2021-01-17 00:00:00,4.971,4.94
2021-01-18 00:00:00,4.971,4.94
2021-01-19 00:00:00,4.989,4.955
2021-01-20 00:00:00,5.012,5.002
2021-01-21 00:00:00,5.012,5.002
2021-01-22 00:00:00,5.012,5.035
2021-01-23 00:00:00,5.012,5.035
2021-01-24 00:00:00,5.012,5.035
2021-01-25 00:00:00,5.004,5.019
2021-01-26 00:00:00,5.004,5.019
2021-01-27 00:00:00,4.996,5.019
2021-01-28 00:00:00,4.996,5.019
2021-01-29 00:00:00,4.996,5.019
2021-01-30 00:00:00,4.996,5.019
2021-01-31 00:00:00,4.996,5.019
2021-02-01 00:00:00,4.996,5.019
2021-02-02 00:00:00,4.996,5.019
2021-02-03 00:00:00,5.032,5.053
2021-02-04 00:00:00,5.032,5.053
2021-02-05 00:00:00,5.055,5.084
2021-02-06 00:00:00,5.055,5.084
2021-02-07 00:00:00,5.058,5.084
2021-02-08 00:00:00,5.058,5.084
2021-02-09 00:00:00,5.058,5.084
2021-02-10 00:00:00,5.078,5.112
2021-02-11 00:00:00,5.078,5.112
2021-02-12 00:00:00,5.107,5.135
2021-02-13 00:00:00,5.107,5.135
2021-02-14 00:00:00,5.107,5.135
2021-02-15 00:00:00,5.107,5.135
2021-02-16 00:00:00,5.148,5.168
2021-02-17 00:00:00,5.148,5.168
2021-02-18 00:00:00,5.178,5.196
2021-02-19 00:00:00,5.209,5.224
2021-02-20 00:00:00,5.209,5.224
2021-02-21 00:00:00,5.209,5.224
2021-02-22 00:00:00,5.209,5.224
2021-02-23 00:00:00,5.281,5.296
2021-02-24 00:00:00,5.281,5.296
2021-02-25 00:00:00,5.281,5.296
2021-02-26 00:00:00,5.281,5.296
2021-02-27 00:00:00,5.304,5.327
2021-02-28 00:00:00,5.312,5.342
2021-03-01 00:00:00,5.312,5.342
2021-03-02 00:00:00,5.312,5.342
2021-03-03 00:00:00,5.312,5.342
2021-03-04 00:00:00,5.312,5.342
2021-03-05 00:00:00,5.312,5.342
2021-03-07 00:00:00,5.312,5.342
2021-03-08 00:00:00,5.335,5.35
2021-03-09 00:00:00,5.376,5.399
2021-03-10 00:00:00,5.376,5.399
2021-03-11 00:00:00,5.399,5.424
2021-03-12 00:00:00,5.399,5.424
2021-03-13 00:00:00,5.401,5.44
2021-03-14 00:00:00,5.401,5.44
2021-03-15 00:00:00,5.401,5.455
2021-03-16 00:00:00,5.445,5.532
2021-03-17 00:00:00,5.445,5.532
2021-03-18 00:00:00,5.442,5.532
2021-03-19 00:00:00,5.442,5.532
2021-03-20 00:00:00,5.435,5.524
2021-03-21 00:00:00,5.435,5.524
2021-03-22 00:00:00,5.435,5.524
2021-03-23 00:00:00,5.424,5.514
2021-03-24 00:00:00,5.394,5.483
2021-03-25 00:00:00,5.381,5.47
2021-03-26 00:00:00,5.347,5.442
2021-03-27 00:00:00,5.353,5.447
2021-03-28 00:00:00,5.353,5.447
2021-03-29 00:00:00,5.319,5.447
2021-03-30 00:00:00,5.319,5.442
2021-03-31 00:00:00,5.319,5.445
2021-04-01 00:00:00,5.319,5.468
2021-04-02 00:00:00,5.319,5.468
2021-04-03 00:00:00,5.319,5.468
2021-04-04 00:00:00,5.319,5.468
2021-04-05 00:00:00,5.319,5.468
2021-04-06 00:00:00,5.319,5.468
2021-04-10 00:00:00,5.353,5.488
2021-04-11 00:00:00,5.33,5.463
2021-04-12 00:00:00,5.353,5.504
2021-04-13 00:00:00,5.353,5.504
2021-04-14 00:00:00,5.391,5.54
2021-04-15 00:00:00,5.391,5.54
2021-04-16 00:00:00,5.391,5.54
2021-04-17 00:00:00,5.37,5.491
2021-04-18 00:00:00,5.37,5.491
2021-04-19 00:00:00,5.399,5.547
2021-04-20 00:00:00,5.435,5.583
2021-04-21 00:00:00,5.435,5.583
2021-04-22 00:00:00,5.404,5.555
2021-04-23 00:00:00,5.394,5.542
2021-04-24 00:00:00,5.37,5.491
2021-04-25 00:00:00,5.37,5.491
2021-04-26 00:00:00,5.394,5.542
2021-04-27 00:00:00,5.394,5.542
2021-04-28 00:00:00,5.394,5.542
2021-04-29 00:00:00,5.394,5.542
2021-04-30 00:00:00,5.394,5.517
2021-05-01 00:00:00,5.373,5.494
2021-05-02 00:00:00,5.373,5.494
2021-05-03 00:00:00,5.394,5.542
2021-05-04 00:00:00,5.394,5.542
2021-05-05 00:00:00,5.399,5.547
2021-05-06 00:00:00,5.399,5.529
2021-05-07 00:00:00,5.414,5.555
2021-05-08 00:00:00,5.458,5.583
2021-05-09 00:00:00,5.458,5.583
2021-05-10 00:00:00,5.488,5.627
2021-05-11 00:00:00,5.488,5.627
2021-05-12 00:00:00,5.488,5.627
2021-05-13 00:00:00,5.488,5.627
2021-05-14 00:00:00,5.509,5.65
2021-05-15 00:00:00,5.468,5.578
2021-05-16 00:00:00,5.455,5.573
2021-05-17 00:00:00,5.455,5.596
2021-05-18 00:00:00,5.486,5.616
2021-05-19 00:00:00,5.486,5.616
2021-05-20 00:00:00,5.509,5.634
2021-05-21 00:00:00,5.486,5.583
2021-05-22 00:00:00,5.45,5.555
2021-05-23 00:00:00,5.45,5.555
2021-05-24 00:00:00,5.455,5.565
2021-05-25 00:00:00,5.463,5.583
2021-05-26 00:00:00,5.463,5.583
2021-05-27 00:00:00,5.463,5.583
2021-05-28 00:00:00,5.463,5.583
2021-05-29 00:00:00,5.442,5.532
2021-05-30 00:00:00,5.442,5.532
2021-05-31 00:00:00,5.463,5.583
2021-06-01 00:00:00,5.463,5.583
2021-06-02 00:00:00,5.463,5.583
2021-06-03 00:00:00,5.463,5.583
2021-06-04 00:00:00,5.493,5.616
2021-06-05 00:00:00,5.481,5.57
2021-06-06 00:00:00,5.481,5.57
2021-06-07 00:00:00,5.493,5.586
2021-06-08 00:00:00,5.493,5.616
2021-06-09 00:00:00,5.493,5.616
2021-06-10 00:00:00,5.524,5.642
2021-06-11 00:00:00,5.537,5.642
2021-06-12 00:00:00,5.56,5.611
2021-06-13 00:00:00,5.56,5.611
2021-06-14 00:00:00,5.588,5.658
2021-06-15 00:00:00,5.624,5.693
2021-06-16 00:00:00,5.624,5.693
2021-06-17 00:00:00,5.66,5.729
2021-06-18 00:00:00,5.66,5.704
2021-06-19 00:00:00,5.629,5.683
2021-06-20 00:00:00,5.629,5.683
2021-06-21 00:00:00,5.647,5.691
2021-06-22 00:00:00,5.663,5.711
2021-06-23 00:00:00,5.67,5.737
2021-06-24 00:00:00,5.701,5.77
2021-06-25 00:00:00,5.714,5.77
2021-06-26 00:00:00,5.686,5.727
2021-06-27 00:00:00,5.686,5.727
2021-06-28 00:00:00,5.714,5.77
2021-06-29 00:00:00,5.722,5.77
2021-06-30 00:00:00,5.752,5.801
2021-07-01 00:00:00,5.752,5.801
2021-07-02 00:00:00,5.752,5.801
2021-07-03 00:00:00,5.729,5.747
2021-07-04 00:00:00,5.729,5.747
2021-07-05 00:00:00,5.752,5.801
2021-07-06 00:00:00,5.783,5.832
2021-07-07 00:00:00,5.804,5.832
2021-07-08 00:00:00,5.834,5.862
2021-07-09 00:00:00,5.804,5.862
2021-07-10 00:00:00,5.796,5.862
2021-07-11 00:00:00,5.796,5.862
2021-07-12 00:00:00,5.796,5.862
2021-07-13 00:00:00,5.796,5.862
2021-07-14 00:00:00,5.796,5.862
2021-07-15 00:00:00,5.801,5.88
2021-07-16 00:00:00,5.832,5.886
2021-07-17 00:00:00,5.827,5.919
2021-07-18 00:00:00,5.827,5.919
2021-07-19 00:00:00,5.827,5.919
2021-07-20 00:00:00,5.814,5.919
2021-07-21 00:00:00,5.783,5.903
2021-07-22 00:00:00,5.783,5.903
2021-07-23 00:00:00,5.814,5.934
2021-07-24 00:00:00,5.814,5.934
2021-07-25 00:00:00,5.814,5.934
2021-07-26 00:00:00,5.819,5.934
2021-07-27 00:00:00,5.839,5.957
2021-07-28 00:00:00,5.839,5.957
2021-07-29 00:00:00,5.824,5.957
2021-07-30 00:00:00,5.824,5.98
2021-07-31 00:00:00,5.824,5.98
2021-08-01 00:00:00,5.824,5.98
2021-08-02 00:00:00,5.824,5.98
2021-08-03 00:00:00,5.824,6.032
2021-08-04 00:00:00,5.824,6.032
2021-08-05 00:00:00,5.804,6.011
2021-08-06 00:00:00,5.798,5.996
2021-08-07 00:00:00,5.791,5.97
2021-08-08 00:00:00,5.791,5.97
2021-08-09 00:00:00,5.791,5.97
2021-08-10 00:00:00,5.793,5.97
2021-08-11 00:00:00,5.752,5.929
2021-08-12 00:00:00,5.747,5.924
2021-08-13 00:00:00,5.747,5.924
2021-08-14 00:00:00,5.747,5.924
2021-08-15 00:00:00,5.747,5.924
2021-08-16 00:00:00,5.747,5.924
2021-08-17 00:00:00,5.747,5.924
2021-08-18 00:00:00,5.732,5.909
2021-08-19 00:00:00,5.732,5.909
2021-08-20 00:00:00,5.724,5.903
2021-08-21 00:00:00,5.691,5.868
2021-08-22 00:00:00,5.691,5.868
2021-08-23 00:00:00,5.691,5.868
2021-08-24 00:00:00,5.686,5.86
2021-08-25 00:00:00,5.686,5.86
2021-08-26 00:00:00,5.701,5.86
2021-08-27 00:00:00,5.716,5.86
2021-08-28 00:00:00,5.716,5.86
2021-08-29 00:00:00,5.716,5.86
2021-08-30 00:00:00,5.716,5.86
2021-08-31 00:00:00,5.716,5.868
2021-09-01 00:00:00,5.752,5.903
2021-09-02 00:00:00,5.752,5.903
2021-09-03 00:00:00,5.804,5.929
2021-09-04 00:00:00,5.804,5.929
2021-09-05 00:00:00,5.804,5.929
2021-09-06 00:00:00,5.804,5.929
2021-09-07 00:00:00,5.827,5.955
2021-09-08 00:00:00,5.827,5.955
2021-09-09 00:00:00,5.827,5.998
2021-09-10 00:00:00,5.827,5.998
2021-09-11 00:00:00,5.827,5.998
2021-09-12 00:00:00,5.827,5.998
2021-09-13 00:00:00,5.827,5.998
2021-09-14 00:00:00,5.827,5.998
2021-09-15 00:00:00,5.875,6.032
2021-09-16 00:00:00,5.883,6.042
2021-09-17 00:00:00,5.883,6.057
2021-09-18 00:00:00,5.883,6.057
2021-09-19 00:00:00,5.883,6.057
2021-09-20 00:00:00,5.883,6.057
2021-09-21 00:00:00,5.883,6.057
2021-09-22 00:00:00,5.883,6.021
2021-09-23 00:00:00,5.883,6.019
2021-09-24 00:00:00,5.883,6.019
2021-09-25 00:00:00,5.914,6.019
2021-09-26 00:00:00,5.914,6.019
2021-09-27 00:00:00,5.914,6.019
