date,price
23-09-2020,4.333
24-09-2020,4.333
25-09-2020,4.333
26-09-2020,4.328
27-09-2020,4.328
28-09-2020,4.353
29-09-2020,4.379
30-09-2020,4.379
1/10/2020,4.392
2/10/2020,4.392
3/10/2020,4.392
4/10/2020,4.392
5/10/2020,4.392
6/10/2020,4.394
7/10/2020,4.394
8/10/2020,4.412
9/10/2020,4.417
10/10/2020,4.417
11/10/2020,4.427
12/10/2020,4.427
13-10-2020,4.435
14-10-2020,4.443
15-10-2020,4.443
16-10-2020,4.422
17-10-2020,4.422
18-10-2020,4.438
19-10-2020,4.443
20-10-2020,4.451
21-10-2020,4.502
22-10-2020,4.502
23-10-2020,4.502
24-10-2020,4.466
25-10-2020,4.461
26-10-2020,4.458
27-10-2020,4.42
28-10-2020,4.415
29-10-2020,4.415
30-10-2020,4.415
31-10-2020,4.389
1/11/2020,4.389
2/11/2020,4.371
3/11/2020,4.371
4/11/2020,4.371
5/11/2020,4.41
6/11/2020,4.41
7/11/2020,4.381
8/11/2020,4.41
9/11/2020,4.41
10/11/2020,4.41
11/11/2020,4.412
12/11/2020,4.435
13-11-2020,4.44
14-11-2020,4.44
15-11-2020,4.456
16-11-2020,4.456
17-11-2020,4.456
18-11-2020,4.471
19-11-2020,4.471
20-11-2020,4.476
21-11-2020,4.476
22-11-2020,4.476
23-11-2020,4.535
24-11-2020,4.535
25-11-2020,4.579
26-11-2020,4.622
27-11-2020,4.622
28-11-2020,4.594
29-11-2020,4.622
30-11-2020,4.622
1/12/2020,4.622
2/12/2020,4.622
3/12/2020,4.64
4/12/2020,4.622
5/12/2020,4.622
6/12/2020,4.645
7/12/2020,4.645
8/12/2020,4.681
9/12/2020,4.681
10/12/2020,4.681
11/12/2020,4.681
12/12/2020,4.681
13-12-2020,4.681
14-12-2020,4.727
15-12-2020,4.776
16-12-2020,4.776
18-12-2020,4.799
19-12-2020,4.776
20-12-2020,4.799
21-12-2020,4.799
22-12-2020,4.822
23-12-2020,4.822
24-12-2020,4.822
25-12-2020,4.799
26-12-2020,4.799
27-12-2020,4.822
28-12-2020,4.822
29-12-2020,4.822
30-12-2020,4.822
31-12-2020,4.822
1/1/2021,4.822
2/1/2021,4.822
3/1/2021,4.822
4/1/2021,4.861
5/1/2021,4.861
6/1/2021,4.866
7/1/2021,4.871
8/1/2021,4.886
9/1/2021,4.886
10/1/2021,4.896
11/1/2021,4.896
12/1/2021,4.94
13-01-2021,4.958
14-01-2021,4.971
15-01-2021,4.963
16-01-2021,4.963
17-01-2021,4.971
18-01-2021,4.971
19-01-2021,4.989
20-01-2021,5.012
21-01-2021,5.012
22-01-2021,5.012
23-01-2021,5.012
24-01-2021,5.012
25-01-2021,5.004
26-01-2021,5.004
27-01-2021,4.996
28-01-2021,4.996
29-01-2021,4.996
30-01-2021,4.996
31-01-2021,4.996
1/2/2021,4.996
2/2/2021,4.996
3/2/2021,5.032
4/2/2021,5.032
5/2/2021,5.055
6/2/2021,5.055
7/2/2021,5.058
8/2/2021,5.058
9/2/2021,5.058
10/2/2021,5.078
11/2/2021,5.078
12/2/2021,5.107
13-02-2021,5.107
14-02-2021,5.107
15-02-2021,5.107
16-02-2021,5.148
17-02-2021,5.148
18-02-2021,5.178
19-02-2021,5.209
20-02-2021,5.209
21-02-2021,5.209
22-02-2021,5.209
23-02-2021,5.281
24-02-2021,5.281
25-02-2021,5.281
26-02-2021,5.281
27-02-2021,5.304
28-02-2021,5.312
1/3/2021,5.312
2/3/2021,5.312
3/3/2021,5.312
4/3/2021,5.312
5/3/2021,5.312
7/3/2021,5.312
8/3/2021,5.335
9/3/2021,5.376
10/3/2021,5.376
11/3/2021,5.399
12/3/2021,5.399
13-03-2021,5.401
14-03-2021,5.401
15-03-2021,5.401
16-03-2021,5.445
17-03-2021,5.445
18-03-2021,5.442
19-03-2021,5.442
20-03-2021,5.435
21-03-2021,5.435
22-03-2021,5.435
23-03-2021,5.424
24-03-2021,5.394
25-03-2021,5.381
26-03-2021,5.347
27-03-2021,5.353
28-03-2021,5.353
29-03-2021,5.319
30-03-2021,5.319
31-03-2021,5.319
1/4/2021,5.319
2/4/2021,5.319
3/4/2021,5.319
4/4/2021,5.319
5/4/2021,5.319
6/4/2021,5.319
10/4/2021,5.353
11/4/2021,5.33
12/4/2021,5.353
13-04-2021,5.353
14-04-2021,5.391
15-04-2021,5.391
16-04-2021,5.391
17-04-2021,5.37
18-04-2021,5.37
19-04-2021,5.399
20-04-2021,5.435
21-04-2021,5.435
22-04-2021,5.404
23-04-2021,5.394
24-04-2021,5.37
25-04-2021,5.37
26-04-2021,5.394
27-04-2021,5.394
28-04-2021,5.394
29-04-2021,5.394
30-04-2021,5.394
1/5/2021,5.373
2/5/2021,5.373
3/5/2021,5.394
4/5/2021,5.394
5/5/2021,5.399
6/5/2021,5.399
7/5/2021,5.414
8/5/2021,5.458
9/5/2021,5.458
10/5/2021,5.488
11/5/2021,5.488
12/5/2021,5.488
13-05-2021,5.488
14-05-2021,5.509
15-05-2021,5.468
16-05-2021,5.455
17-05-2021,5.455
18-05-2021,5.486
19-05-2021,5.486
20-05-2021,5.509
21-05-2021,5.486
22-05-2021,5.45
23-05-2021,5.45
24-05-2021,5.455
25-05-2021,5.463
26-05-2021,5.463
27-05-2021,5.463
28-05-2021,5.463
29-05-2021,5.442
30-05-2021,5.442
31-05-2021,5.463
1/6/2021,5.463
2/6/2021,5.463
3/6/2021,5.463
4/6/2021,5.493
5/6/2021,5.481
6/6/2021,5.481
7/6/2021,5.493
8/6/2021,5.493
9/6/2021,5.493
10/6/2021,5.524
11/6/2021,5.537
12/6/2021,5.56
13-06-2021,5.56
14-06-2021,5.588
15-06-2021,5.624
16-06-2021,5.624
17-06-2021,5.66
18-06-2021,5.66
19-06-2021,5.629
20-06-2021,5.629
21-06-2021,5.647
22-06-2021,5.663
23-06-2021,5.67
24-06-2021,5.701
25-06-2021,5.714
26-06-2021,5.686
27-06-2021,5.686
28-06-2021,5.714
29-06-2021,5.722
30-06-2021,5.752
1/7/2021,5.752
2/7/2021,5.752
3/7/2021,5.729
4/7/2021,5.729
5/7/2021,5.752
6/7/2021,5.783
7/7/2021,5.804
8/7/2021,5.834
9/7/2021,5.804
10/7/2021,5.796
11/7/2021,5.796
12/7/2021,5.796
13-07-2021,5.796
14-07-2021,5.796
15-07-2021,5.801
16-07-2021,5.832
17-07-2021,5.827
18-07-2021,5.827
19-07-2021,5.827
20-07-2021,5.814
21-07-2021,5.783
22-07-2021,5.783
23-07-2021,5.814
24-07-2021,5.814
25-07-2021,5.814
26-07-2021,5.819
27-07-2021,5.839
28-07-2021,5.839
29-07-2021,5.824
30-07-2021,5.824
31-07-2021,5.824
1/8/2021,5.824
2/8/2021,5.824
3/8/2021,5.824
4/8/2021,5.824
5/8/2021,5.804
6/8/2021,5.798
7/8/2021,5.791
8/8/2021,5.791
9/8/2021,5.791
10/8/2021,5.793
11/8/2021,5.752
12/8/2021,5.747
13-08-2021,5.747
14-08-2021,5.747
15-08-2021,5.747
16-08-2021,5.747
17-08-2021,5.747
18-08-2021,5.732
19-08-2021,5.732
20-08-2021,5.724
21-08-2021,5.691
22-08-2021,5.691
23-08-2021,5.691
24-08-2021,5.686
25-08-2021,5.686
26-08-2021,5.701
27-08-2021,5.716
28-08-2021,5.716
29-08-2021,5.716
30-08-2021,5.716
31-08-2021,5.716
1/9/2021,5.752
2/9/2021,5.752
3/9/2021,5.804
4/9/2021,5.804
5/9/2021,5.804
6/9/2021,5.804
7/9/2021,5.827
8/9/2021,5.827
9/9/2021,5.827
10/9/2021,5.827
11/9/2021,5.827
12/9/2021,5.827
13-09-2021,5.827
14-09-2021,5.827
15-09-2021,5.875
16-09-2021,5.883
17-09-2021,5.883
18-09-2021,5.883
19-09-2021,5.883
20-09-2021,5.883
21-09-2021,5.883
22-09-2021,5.883
23-09-2021,5.883
24-09-2021,5.883
25-09-2021,5.914
26-09-2021,5.914
27-09-2021,5.914
28-09-2021,5.914
29-09-2021,5.957
30-09-2021,5.957
1/10/2021,5.988
2/10/2021,6.029
3/10/2021,6.029
4/10/2021,6.029
5/10/2021,6.08
6/10/2021,6.08
7/10/2021,6.111
8/10/2021,6.152
9/10/2021,6.132
10/10/2021,6.132
11/10/2021,6.17
12/10/2021,6.203
13-10-2021,6.234
14-10-2021,6.265
15-10-2021,6.275
16-10-2021,6.255
17-10-2021,6.255
18-10-2021,6.306
19-10-2021,6.337
20-10-2021,6.367
21-10-2021,6.395
22-10-2021,6.398
23-10-2021,6.419
24-10-2021,6.419
25-10-2021,6.449
26-10-2021,6.449
27-10-2021,6.449
28-10-2021,6.48
29-10-2021,6.48
30-10-2021,6.46
31-10-2021,6.46
1/11/2021,6.449
2/11/2021,6.449
3/11/2021,6.449
4/11/2021,6.419
5/11/2021,6.378
6/11/2021,6.347
7/11/2021,6.347
8/11/2021,6.378
9/11/2021,6.378
10/11/2021,6.378
11/11/2021,6.378
12/11/2021,6.378
13-11-2021,6.326
14-11-2021,6.326
15-11-2021,6.357
16-11-2021,6.337
17-11-2021,6.337
18-11-2021,6.337
19-11-2021,6.296
20-11-2021,6.265
21-11-2021,6.265
22-11-2021,6.296
23-11-2021,6.255
24-11-2021,6.255
25-11-2021,6.255
26-11-2021,6.255
27-11-2021,6.224
28-11-2021,6.224
29-11-2021,6.224
30-11-2021,6.132
1/12/2021,6.132
2/12/2021,6.162
3/12/2021,6.162
4/12/2021,6.08
5/12/2021,6.08
6/12/2021,6.111
7/12/2021,6.091
8/12/2021,6.091
9/12/2021,6.091
10/12/2021,6.091
11/12/2021,6.06
12/12/2021,6.06
13-12-2021,6.091
14-12-2021,6.091
15-12-2021,6.091
16-12-2021,6.091
17-12-2021,6.06
18-12-2021,6.029
19-12-2021,6.029
20-12-2021,6.06
21-12-2021,6.06
22-12-2021,6.019
23-12-2021,6.039
24-12-2021,6.039
25-12-2021,6.009
26-12-2021,6.009
27-12-2021,6.039
28-12-2021,6.08
29-12-2021,6.101
30-12-2021,6.111
31-12-2021,6.111
1/1/2022,6.142
2/1/2022,6.152
3/1/2022,6.152
4/1/2022,6.183
5/1/2022,6.193
6/1/2022,6.221
7/1/2022,6.27
8/1/2022,6.255
9/1/2022,6.255
10/1/2022,6.306
11/1/2022,6.326
12/1/2022,6.337
13-01-2022,6.367
14-01-2022,6.367
15-01-2022,6.367
16-01-2022,6.398
17-01-2022,6.419
18-01-2022,6.449
19-01-2022,6.48
20-01-2022,6.501
21-01-2022,6.531
22-01-2022,6.531
23-01-2022,6.552
24-01-2022,6.552
25-01-2022,6.562
26-01-2022,6.562
27-01-2022,6.603
28-01-2022,6.652
29-01-2022,6.654
30-01-2022,6.685
31-01-2022,6.685
1/2/2022,6.685
2/2/2022,6.693
3/2/2022,6.711
4/2/2022,6.731
5/2/2022,6.767
6/2/2022,6.767
7/2/2022,6.788
8/2/2022,6.829
9/2/2022,6.829
10/2/2022,6.859
11/2/2022,6.88
12/2/2022,6.9
13-02-2022,6.9
14-02-2022,6.9
15-02-2022,6.957
16-02-2022,6.993
17-02-2022,7.013
18-02-2022,7.013
19-02-2022,7.013
20-02-2022,7.013
21-02-2022,7.034
22-02-2022,7.034
23-02-2022,7.085
24-02-2022,7.126
25-02-2022,7.151
26-02-2022,7.157
27-02-2022,7.169
28-02-2022,7.198
1/3/2022,7.208
2/3/2022,7.208
3/3/2022,7.239
4/3/2022,7.31
5/3/2022,7.341
6/3/2022,7.341
7/3/2022,7.42
8/3/2022,7.423
9/3/2022,7.608
10/3/2022,7.608
11/3/2022,8.146
12/3/2022,8.176
13-03-2022,8.176
14-03-2022,8.176
15-03-2022,8.176
16-03-2022,8.174
17-03-2022,8.082
18-03-2022,8.082
19-03-2022,8.12
20-03-2022,8.133
21-03-2022,8.133
22-03-2022,8.138
23-03-2022,8.179
24-03-2022,8.271
25-03-2022,8.312
26-03-2022,8.358
27-03-2022,8.417
28-03-2022,8.463
29-03-2022,8.502
30-03-2022,8.502
31-03-2022,8.502
1/4/2022,8.512
2/4/2022,8.515
3/4/2022,8.543
4/4/2022,8.543
5/4/2022,8.538
6/4/2022,8.556
7/4/2022,8.592
8/4/2022,8.571
9/4/2022,8.568
10/4/2022,8.568
11/4/2022,8.568
2/5/2022,8.789
3/5/2022,8.791
4/5/2022,8.825
5/5/2022,8.876
6/5/2022,8.896
7/5/2022,8.902
8/5/2022,8.914
9/5/2022,8.92
10/5/2022,8.979
11/5/2022,8.989
12/5/2022,8.989
13-05-2022,8.989
14-05-2022,9.009
15-05-2022,9.009
16-05-2022,9.009
17-05-2022,9.009
18-05-2022,9.009
19-05-2022,9.009
20-05-2022,9.009
21-05-2022,8.891
22-05-2022,8.891
23-05-2022,9.004
24-05-2022,9.004
25-05-2022,9.004
26-05-2022,9.004
27-05-2022,9.004
28-05-2022,8.894
29-05-2022,8.907
