date,price
23-09-2020,4.44
24-09-2020,4.44
25-09-2020,4.44
26-09-2020,4.438
27-09-2020,4.438
28-09-2020,4.463
29-09-2020,4.471
30-09-2020,4.471
1/10/2020,4.497
2/10/2020,4.497
3/10/2020,4.497
4/10/2020,4.512
5/10/2020,4.512
6/10/2020,4.512
7/10/2020,4.525
8/10/2020,4.54
9/10/2020,4.54
10/10/2020,4.54
11/10/2020,4.54
12/10/2020,4.54
13-10-2020,4.568
14-10-2020,4.568
15-10-2020,4.568
16-10-2020,4.522
17-10-2020,4.522
18-10-2020,4.525
19-10-2020,4.545
20-10-2020,4.545
21-10-2020,4.584
22-10-2020,4.584
23-10-2020,4.584
24-10-2020,4.561
25-10-2020,4.571
26-10-2020,4.566
27-10-2020,4.53
28-10-2020,4.522
29-10-2020,4.522
30-10-2020,4.522
31-10-2020,4.469
1/11/2020,4.469
2/11/2020,4.458
3/11/2020,4.458
4/11/2020,4.458
5/11/2020,4.458
6/11/2020,4.458
7/11/2020,4.428
8/11/2020,4.438
9/11/2020,4.438
10/11/2020,4.458
11/11/2020,4.458
12/11/2020,4.481
13-11-2020,4.476
14-11-2020,4.476
15-11-2020,4.476
16-11-2020,4.476
17-11-2020,4.497
18-11-2020,4.499
19-11-2020,4.512
20-11-2020,4.507
21-11-2020,4.507
22-11-2020,4.507
23-11-2020,4.574
24-11-2020,4.566
25-11-2020,4.617
26-11-2020,4.653
27-11-2020,4.622
28-11-2020,4.592
29-11-2020,4.643
30-11-2020,4.612
1/12/2020,4.612
2/12/2020,4.612
3/12/2020,4.643
4/12/2020,4.581
5/12/2020,4.581
6/12/2020,4.643
7/12/2020,4.643
8/12/2020,4.668
9/12/2020,4.668
10/12/2020,4.638
11/12/2020,4.632
12/12/2020,4.632
13-12-2020,4.632
14-12-2020,4.679
15-12-2020,4.697
16-12-2020,4.697
18-12-2020,4.72
19-12-2020,4.704
20-12-2020,4.75
21-12-2020,4.72
22-12-2020,4.766
23-12-2020,4.766
24-12-2020,4.766
25-12-2020,4.72
26-12-2020,4.72
27-12-2020,4.766
28-12-2020,4.766
29-12-2020,4.766
30-12-2020,4.766
31-12-2020,4.766
1/1/2021,4.766
2/1/2021,4.766
3/1/2021,4.766
4/1/2021,4.807
5/1/2021,4.807
6/1/2021,4.814
7/1/2021,4.814
8/1/2021,4.807
9/1/2021,4.807
10/1/2021,4.843
11/1/2021,4.843
12/1/2021,4.894
13-01-2021,4.894
14-01-2021,4.917
15-01-2021,4.909
16-01-2021,4.909
17-01-2021,4.94
18-01-2021,4.94
19-01-2021,4.955
20-01-2021,5.002
21-01-2021,5.002
22-01-2021,5.035
23-01-2021,5.035
24-01-2021,5.035
25-01-2021,5.019
26-01-2021,5.019
27-01-2021,5.019
28-01-2021,5.019
29-01-2021,5.019
30-01-2021,5.019
31-01-2021,5.019
1/2/2021,5.019
2/2/2021,5.019
3/2/2021,5.053
4/2/2021,5.053
5/2/2021,5.084
6/2/2021,5.084
7/2/2021,5.084
8/2/2021,5.084
9/2/2021,5.084
10/2/2021,5.112
11/2/2021,5.112
12/2/2021,5.135
13-02-2021,5.135
14-02-2021,5.135
15-02-2021,5.135
16-02-2021,5.168
17-02-2021,5.168
18-02-2021,5.196
19-02-2021,5.224
20-02-2021,5.224
21-02-2021,5.224
22-02-2021,5.224
23-02-2021,5.296
24-02-2021,5.296
25-02-2021,5.296
26-02-2021,5.296
27-02-2021,5.327
28-02-2021,5.342
1/3/2021,5.342
2/3/2021,5.342
3/3/2021,5.342
4/3/2021,5.342
5/3/2021,5.342
7/3/2021,5.342
8/3/2021,5.35
9/3/2021,5.399
10/3/2021,5.399
11/3/2021,5.424
12/3/2021,5.424
13-03-2021,5.44
14-03-2021,5.44
15-03-2021,5.455
16-03-2021,5.532
17-03-2021,5.532
18-03-2021,5.532
19-03-2021,5.532
20-03-2021,5.524
21-03-2021,5.524
22-03-2021,5.524
23-03-2021,5.514
24-03-2021,5.483
25-03-2021,5.47
26-03-2021,5.442
27-03-2021,5.447
28-03-2021,5.447
29-03-2021,5.447
30-03-2021,5.442
31-03-2021,5.445
1/4/2021,5.468
2/4/2021,5.468
3/4/2021,5.468
4/4/2021,5.468
5/4/2021,5.468
6/4/2021,5.468
10/4/2021,5.488
11/4/2021,5.463
12/4/2021,5.504
13-04-2021,5.504
14-04-2021,5.54
15-04-2021,5.54
16-04-2021,5.54
17-04-2021,5.491
18-04-2021,5.491
19-04-2021,5.547
20-04-2021,5.583
21-04-2021,5.583
22-04-2021,5.555
23-04-2021,5.542
24-04-2021,5.491
25-04-2021,5.491
26-04-2021,5.542
27-04-2021,5.542
28-04-2021,5.542
29-04-2021,5.542
30-04-2021,5.517
1/5/2021,5.494
2/5/2021,5.494
3/5/2021,5.542
4/5/2021,5.542
5/5/2021,5.547
6/5/2021,5.529
7/5/2021,5.555
8/5/2021,5.583
9/5/2021,5.583
10/5/2021,5.627
11/5/2021,5.627
12/5/2021,5.627
13-05-2021,5.627
14-05-2021,5.65
15-05-2021,5.578
16-05-2021,5.573
17-05-2021,5.596
18-05-2021,5.616
19-05-2021,5.616
20-05-2021,5.634
21-05-2021,5.583
22-05-2021,5.555
23-05-2021,5.555
24-05-2021,5.565
25-05-2021,5.583
26-05-2021,5.583
27-05-2021,5.583
28-05-2021,5.583
29-05-2021,5.532
30-05-2021,5.532
31-05-2021,5.583
1/6/2021,5.583
2/6/2021,5.583
3/6/2021,5.583
4/6/2021,5.616
5/6/2021,5.57
6/6/2021,5.57
7/6/2021,5.586
8/6/2021,5.616
9/6/2021,5.616
10/6/2021,5.642
11/6/2021,5.642
12/6/2021,5.611
13-06-2021,5.611
14-06-2021,5.658
